"timestamp","total_users","active_users","inactive_users"
"1640304005",2278,301,1977
"1640390406",2279,289,1990
"1640476805",2279,269,2010
"1640563205",2279,267,2012
"1640649603",2282,269,2013
"1640736005",2283,257,2026
"1640822404",2286,245,2041
"1640908805",2288,238,2050
"1640995204",2290,236,2054
"1641081606",2291,213,2078
"1641168005",2291,210,2081
"1641254405",2293,210,2083
"1641340806",2294,201,2093
"1641427207",2298,191,2107
"1641513604",2305,185,2120
"1641600004",2310,180,2130
"1641686406",2310,174,2136
"1641772805",2310,174,2136
"1641859204",2316,178,2138
"1641945605",2323,186,2137
"1642032004",2327,189,2138
"1642118405",2336,199,2137
"1642204805",2343,207,2136
"1642291205",2344,212,2132
"1642377606",2344,212,2132
"1642464006",2348,216,2132
"1642550405",2352,218,2134
"1642636805",2361,228,2133
"1642723203",2368,238,2130
"1642809605",2374,241,2133
"1642896006",2374,238,2136
"1642982405",2375,238,2137
"1643068805",2379,241,2138
"1643155206",2384,246,2138
"1643241602",2392,254,2138
"1643328005",2396,255,2141
"1643414405",2400,260,2140
"1643500805",2400,260,2140
"1643587205",2403,263,2140
"1643673604",2407,267,2140
"1643760005",2410,268,2142
"1643846404",2424,276,2148
"1643932804",2431,279,2152
"1644019205",2435,278,2157
"1644105605",2436,275,2161
"1644192006",2438,275,2163
"1644278405",2450,286,2164
"1644364806",2456,291,2165
"1644451205",2462,293,2169
"1644537604",2467,295,2172
"1644624003",2471,300,2171
"1644710405",2471,298,2173
"1644796805",2471,295,2176
"1644883205",2478,300,2178
"1644969605",2481,300,2181
"1645056006",2491,309,2182
"1645142404",2501,310,2191
"1645228806",2503,308,2195
"1645315204",2504,308,2196
"1645401604",2508,311,2197
"1645488004",2518,319,2199
"1645574407",2521,322,2199
"1645660806",2529,325,2204
"1645747205",2539,329,2210
"1645833606",2543,330,2213
"1645920005",2545,321,2224
"1646006406",2547,322,2225
"1646092805",2556,329,2227
"1646179206",2566,328,2238
"1646265604",2573,331,2242
"1646352005",2582,339,2243
"1646438405",2588,341,2247
"1646524808",2588,340,2248
"1646611204",2590,341,2249
"1646697603",2600,351,2249
"1646784003",2620,364,2256
"1646870405",2639,384,2255
"1646956805",2646,384,2262
"1647043206",2656,391,2265
"1647129605",2657,392,2265
"1647216008",2658,393,2265
"1647302406",2666,395,2271
"1647388805",2669,395,2274
"1647475206",2674,397,2277
"1647561608",2684,406,2278
"1647648005",2691,415,2276
"1647734404",2692,418,2274
"1647820805",2692,417,2275
"1647907205",2698,421,2277
"1647993606",2701,418,2283
"1648080004",2711,418,2293
"1648166405",2717,417,2300
"1648252804",2722,417,2305
"1648339204",2726,420,2306
"1648422003",2731,425,2306
"1648508404",2737,430,2307
"1648594805",2748,433,2315
"1648681205",2755,410,2345
"1648767606",2762,405,2357
"1648854005",2777,406,2371
"1648940405",2779,390,2389
"1649026804",2780,388,2392
"1649113205",2785,393,2392
"1649199605",2789,385,2404
"1649286004",2795,385,2410
"1649372405",2801,386,2415
"1649458805",2811,386,2425
"1649545206",2811,382,2429
"1649631606",2814,384,2430
"1649718006",2816,387,2429
"1649804405",2819,390,2429
"1649890805",2824,390,2434
"1649977204",2831,388,2443
"1650063605",2833,384,2449
"1650150005",2835,382,2453
"1650236405",2838,381,2457
"1650322805",2842,385,2457
"1650409206",2846,385,2461
"1650495607",2854,374,2480
"1650582006",2862,370,2492
"1650668405",2866,365,2501
"1650754806",2870,357,2513
"1650841205",2871,357,2514
"1650927606",2877,357,2520
"1651014006",2886,358,2528
"1651100405",2895,356,2539
"1651186805",2904,359,2545
"1651273205",2907,362,2545
"1651359607",2909,354,2555
"1651446005",2910,355,2555
"1651532405",2917,361,2556
"1651618805",2920,365,2555
"1651705205",2925,370,2555
"1651791605",2933,377,2556
"1651878004",2937,376,2561
"1651964404",2937,374,2563
"1652050806",2938,374,2564
"1652137205",2944,378,2566
"1652223605",2949,384,2565
"1652310005",2960,390,2570
"1652396406",2970,394,2576
"1652482806",2976,398,2578
"1652569206",2979,394,2585
"1652655605",2980,391,2589
"1652742006",2987,398,2589
"1652828405",2990,400,2590
"1652914804",2998,400,2598
"1653001204",3000,396,2604
"1653087604",3008,400,2608
"1653174006",3009,394,2615
"1653260404",3010,394,2616
"1653346804",3016,397,2619
"1653519605",3031,402,2629
"1653606005",3035,400,2635
"1653692406",3040,398,2642
"1653778806",3040,398,2642
"1653865207",3040,398,2642
"1653951605",3044,400,2644
"1654124404",3059,406,2653
"1654210805",3061,401,2660
"1654297204",3064,393,2671
